Designator,Mid X,Mid Y,Rotation,Layer
C1,143.75,-83.5,0.0,top
C10,119.2,-44.225,180.0,top
C11,121.45,-47.725,270.0,top
C12,118.7,-52.225,270.0,top
C13,113.2,-45.975,90.0,top
C14,143.3,-94.5,180.0,top
C15,124.8,-94.7,0.0,top
C2,141.75,-83.75,0.0,top
C3,122.0,-64.75,180.0,top
C4,133.775,-100.225,270.0,top
C5,139.75,-83.75,180.0,top
C6,122.0,-78.0,180.0,top
C7,144.475,-63.7275,0.0,top
C8,139.975,-63.7275,180.0,top
C9,141.975,-63.7275,0.0,top
D1,134.35,-47.95,90.0,top
D2,123.45,-52.975,270.0,top
D3,130.85,-47.95,270.0,top
D4,130.85,-51.585,270.0,top
D5,134.35,-51.585,90.0,top
J1,134.25,-73.25,0.0,top
J10,109.0,-64.31,180.0,top
J11,109.1,-47.9,180.0,top
J12,147.0,-56.5,180.0,top
J2,123.75,-101.5,180.0,top
J3,114.45,-51.975,180.0,top
J4,111.5,-96.0,90.0,top
J5,109.0,-78.5,180.0,top
J6,114.42,-88.46,0.0,top
J7,112.0,-104.5,90.0,top
J8,112.0,-101.0,90.0,top
J9,147.0,-76.96,180.0,top
L2,123.45,-47.475,90.0,top
R1,139.5,-70.75,90.0,top
R10,132.275,-101.725,270.0,top
R11,114.7,-45.975,270.0,top
R12,116.2,-45.975,270.0,top
R13,142.5,-69.7,270.0,top
R14,141.0,-70.25,90.0,top
R15,147.4,-82.0,0.0,top
R16,143.0,-47.2,270.0,top
R17,141.4,-47.2,90.0,top
R18,147.4,-61.7,0.0,top
R19,138.7,-50.7,180.0,top
R2,113.67,-93.5,0.0,top
R20,146.8,-46.7,180.0,top
R21,146.0,-89.55,90.0,top
R22,144.5,-89.3,270.0,top
R3,110.75,-98.5,180.0,top
R4,143.8,-70.3,270.0,top
R5,134.0,-92.2,270.0,top
R6,137.05,-90.15,180.0,top
R7,135.6,-92.2,270.0,top
R8,130.775,-101.725,90.0,top
R9,131.525,-99.475,0.0,top
U1,142.0,-77.635,180.0,top
U2,119.2,-47.725,180.0,top
U3,142.25,-57.365,180.0,top
U4,109.75,-90.0,180.0,top
U5,129.5,-91.5,180.0,top
U6,145.7,-99.0,0.0,top
U7,127.585,-73.835,0.0,bottom
